"","TAXKEY","HSE_NBR","SFX","DIR","STREET","STTYPE","UNIT_NBR","ZIP_CODE","LAND_USE","RCD_NBR","UPD_DATE","WARD","MAIL_ERROR_COUNT","MAIL_STATUS","RES_COM_FLAG"
"195896",3632555000,945,"","N","17TH","ST","",532331603,8830,273688,850416,0,0,"","R"
"309189",5989944110,2110,"","W","LAYTON","AV","",532210000,8880,463964,110711,0,0,"N","C"
"170685",3470337000,4315,"","W","LISBON","AV","34",532081204,8830,245253,830813,0,0,"","R"
"161474",1231179000,3707,"","W","GOOD HOPE","RD","9",532092330,8811,234786,851101,0,0,"","R"
"241236",5271003120,3139,"","S","77TH","ST","110",532193708,8830,323264,830907,0,0,"","R"
"307431",4290116000,444,"","E","CORCORAN","AV","414",532026165,8830,461687,100511,0,0,"","R"
"290474",5480096000,3827,"","S","WHITNALL","AV","",532070000,8880,441725,40216,0,0,"N","C"
"247365",1090045000,9722,"","W","JUNIPER","CT","",532240000,8880,332247,111010,0,0,"N","C"
"169710",4341423000,1110,"","S","LAYTON","BL","",532151635,8820,244167,850222,0,0,"","R"
"176688",4210292000,670,"","S","OAK PARK","CT","",532141930,8810,252087,830813,0,0,"","R"
"248577",1170351111,8710,"","W","ROCHELLE","AV","",532240000,8880,333700,991026,0,0,"N","C"
"177039",3150004000,2967,"","N","OAKLAND","AV","105",532113230,8830,252455,130827,0,0,"","R"
"246011",3211772000,632,"","E","CENTER","ST","",532122959,7542,330653,150330,0,0,"","C"
"171985",2130800000,7824,"","W","LUSCHER","AV","",532183744,8810,246628,131212,0,0,"","R"
"289296",3920847000,517,"","E","WISCONSIN","AV","258",532024512,9211,440469,90805,0,0,"","C"
"291701",4290422000,141,"","N","JEFFERSON","ST","507",532026111,8830,443337,40526,0,0,"","R"
"164485",3881006100,3334,"","W","HIGHLAND","BL","407",532083254,8830,238030,830813,0,0,"","R"
"255059",3140211100,1020,"","E","LOCUST","ST","",532122638,5813,341850,951207,0,0,"","C"
"255964",4580715100,3100,"","W","MITCHELL","ST","",532152120,5411,343867,41207,0,0,"","C"
"199549",2310515000,4428,"","N","21ST","ST","",532096340,8820,277848,830813,0,0,"","R"
"291242",3910811000,606,"","W","WISCONSIN","AV","1004",532031928,8811,442776,70629,0,0,"","R"
"287201",2470322000,3520,"","W","CAPITOL","DR","",532160000,8880,438148,30314,0,0,"N","C"
"283508",3522921000,1901,"","N","6TH","ST","306",532123666,8830,433772,130412,0,0,"","R"
"176815",3190688100,2414,"","N","OAKLAND","AV","101",532114334,8830,252228,830813,0,0,"","R"
"303263",3601821000,1551,"","N","WATER","ST","518",532022614,8899,456794,110518,0,0,"","R"
"260624",3610835000,555,"","N","JAMES LOVELL","ST","",532332401,8880,405756,160107,0,0,"N","C"
"316690",3901351000,830,"","N","15TH","ST","5G",532331996,8830,471862,181019,0,0,"","R"
"268171",4661511000,2147,"","S","WINCHESTER","ST","111",532071309,8830,415100,980916,0,0,"","R"
"180357",3550471000,1901,"","N","PROSPECT","AV","504",532021413,8830,256216,830813,0,0,"","R"
"316487",4290452000,401,"","E","ERIE","ST","",532026159,9960,471658,170807,0,0,"N","C"
"212757",2680069000,3753,"","N","40TH","ST","",532163026,8820,292534,830813,0,0,"","R"
"221069",5730505000,3910,"","S","55TH","ST","",532202629,8810,301121,830813,0,0,"","R"
"216235",3071043000,2745,"","N","48TH","ST","",532102447,8820,296166,830813,0,0,"","R"
"295200",2630837120,8320,"","W","LISBON","AV","",532223860,8350,447594,140509,0,0,"","C"
"249311",3931021000,915,"","E","WISCONSIN","AV","",532020000,8870,334572,180501,0,0,"N","C"
"268969",3081171000,3515,"","W","HADLEY","ST","210",532102565,8830,415956,150417,0,0,"","R"
"291719",4290432000,144,"","N","JEFFERSON","ST","402",532026135,8899,443355,90824,0,0,"","R"
"216538",5120521000,2718,"","S","48TH","ST","",532193217,8810,296471,830813,0,0,"","R"
"257211",5351242000,1910,"","W","OHIO","AV","355",532154997,8361,401134,90819,0,0,"","C"
"319420",3620531000,1303,"","N","10TH","ST","216",532052578,8830,474803,190619,0,0,"","R"
"182965",2090525100,4913,"","N","SHERMAN","BL","",532095244,8810,259027,830813,0,0,"","R"
"255128",4342381000,2625,"","W","NATIONAL","AV","",532041068,5912,342060,60523,0,0,"","C"
"299383",3471222000,4407,"","W","NORTH","AV","204",532081200,8899,452493,71023,0,0,"","R"
"169698",4341737000,940,"","S","LAYTON","BL","11",532151631,8888,244155,70104,0,0,"N","C"
"239769",3633042000,1462,"","N","17TH","ST","",532052005,8830,320913,830907,0,0,"","R"
"311654",3191431000,2310,"","N","OAKLAND","AV","203",532114284,8899,466634,151111,0,0,"","R"
"307328",3601881000,1541,"","N","WATER","ST","",532022063,7231,461580,171031,0,0,"","C"
"265846",2550248100,4247,"","N","104TH","ST","8",532221206,8830,412443,980909,0,0,"","R"
"280493",2061657000,4883,"","N","20TH","ST","",532090000,8880,430177,20430,0,0,"N","C"
"231743",4970580000,2551,"","S","8TH","ST","",532153409,8820,312390,830813,0,0,"","R"
"238691",1950326000,5457,"","N","LONG ISLAND","DR","A",532095051,8820,319561,150819,0,0,"","R"
"210939",3271648000,2576,"","N","38TH","ST","",532103005,8820,290628,120229,0,0,"","R"
"241850",3590208111,1567,"","N","PROSPECT","AV","314",532022367,8830,324318,830907,0,0,"","R"
"233419",3020855000,2721,"","N","85TH","ST","1",532224709,8830,314080,180716,0,0,"","R"
"168296",1430591000,8110,"","W","KIEHNAU","AV","",532235547,8810,242491,830813,0,0,"","R"
"278680",4690633100,2103,"","S","14TH","ST","",532152715,8830,427967,160421,0,0,"","R"
"248936",709989210,7939,"","W","TOWER","AV","",532233213,4225,334127,830104,0,0,"","C"
"295722",3920949000,249,"","N","WATER","ST","403",532026045,8899,448290,70720,0,0,"","R"
"216391",2480429000,4045,"","N","48TH","ST","",532161530,8810,296324,161017,0,0,"V","R"
"173928",2640200000,6830,"","W","MELVINA","ST","",532162030,8810,248926,830813,0,0,"","R"
"195665",4960026000,2415,"C","S","16TH","ST","",532150000,8880,273391,120802,0,0,"N","C"
"194839",2440682000,4035,"","N","15TH","ST","",532096910,8810,272431,830813,0,0,"","R"
"253733",3561190100,2117,"","N","SUMMIT","AV","102",532021321,8811,339911,20710,0,0,"","R"
"321053",4589881110,1545,"","S","LAYTON","BL","610",532151969,8899,476465,190107,0,0,"","R"
"202713",4340412000,1228,"","S","25TH","ST","",532041942,8810,281514,830813,0,0,"","R"
"284502",3531414000,234,"","E","RESERVOIR","AV","313",532123781,8811,435042,70718,0,0,"","R"
"228153",70055000,9264,"","N","70TH","ST","",532231108,8811,308597,830813,0,0,"","R"
"199508",2451108100,4120,"A","N","21ST","ST","",532096759,8820,277807,170410,0,0,"","R"
"202998",3890914000,917,"","N","26TH","ST","303",532331510,8830,281838,830813,0,0,"","R"
"246994",4961145000,1439,"","W","HARRISON","AV","",532150000,8880,331811,130404,0,0,"N","C"
"320396",3221261000,2510,"","N","VEL R PHILLIPS","AV","",532122714,8810,475795,171004,0,0,"","R"
"214509",2880603000,3447,"","N","44TH","ST","",532163519,8810,294337,151021,0,0,"","R"
"204574",2460150000,4327,"","N","28TH","ST","",532161813,8810,283774,830813,0,0,"","R"
"287626",2870759100,3814,"","W","BURLEIGH","ST","",532100000,8880,438620,30506,0,0,"N","C"
"218278",5120004000,2919,"","S","50TH","ST","",532193319,8810,298288,830813,0,0,"","R"
"270392",2452308000,2027,"","W","ATKINSON","AV","301",532096815,8830,417601,980930,0,0,"","R"
"231594",4321124000,1021,"","S","8TH","ST","",532040000,8880,312205,100429,0,0,"N","C"
"294610",341462000,8949,"","N","97TH","ST","D116",532241600,8888,446914,80129,0,0,"N","C"
"270473",2470222000,4118,"A","W","CAPITOL","DR","4",532162559,8899,417705,81117,0,0,"","R"
"176653",4210309000,516,"","S","OAK PARK","CT","",532141922,8810,252051,830813,0,0,"","R"
"311831",4270592000,625,"","W","FRESHWATER","WA","208",532044211,8830,466813,160407,0,0,"","R"
"312607",2851017000,3251,"","N","23RD","ST","",532061728,8830,467651,140730,0,0,"","R"
"162935",2030077100,410,"","W","HAMPTON","AV","101",532175407,8830,236355,110613,0,0,"","R"
"297068",4012002110,3035,"","W","WISCONSIN","AV","201",532083951,8830,449887,70208,0,0,"","R"
"227962",2510350000,4069,"","N","70TH","ST","",532161128,8810,308406,830813,0,0,"","R"
"300611",3561531000,2036,"","N","PROSPECT","AV","2003",532021265,8830,453884,121205,0,0,"","R"
"302395",3960449000,239,"","E","CHICAGO","ST","508",532025924,8811,455773,90602,0,0,"","R"
"297303",3930841000,825,"","N","PROSPECT","AV","2701",532023915,8811,450178,70502,0,0,"","R"
"251070",3611636111,1101,"","N","6TH","ST","",532031005,8222,336630,91014,0,0,"N","C"
"233940",5260178000,3326,"","S","87TH","CT","",532274517,8820,314602,830813,0,0,"","R"
"318864",3920704100,224,"","E","MASON","ST","C",532023655,8899,474158,180625,0,0,"","R"
"209763",4360059000,745,"","S","36TH","ST","",532151016,8810,289412,830813,0,0,"","R"
"266965",3140801100,2825,"","N","HOLTON","ST","605",532122500,8830,413657,90428,0,0,"","R"
"208134",3091049000,2849,"","N","34TH","ST","",532101918,8810,287670,830813,0,0,"","R"
"168548",3882215000,2936,"","W","KILBOURN","AV","2",532083410,8830,242830,830813,0,0,"","R"
"285046",5100485000,2901,"","W","KINNICKINNIC RIVER","PK","3W03",532153638,8011,435625,90610,0,0,"N","C"
"305908",1740537000,5905,"","N","66TH","ST","",532180000,8880,459921,100215,0,0,"N","C"
"181706",3550297000,1512,"","E","ROYALL","PL","212",532021808,8830,257713,830813,0,0,"","R"
"184111",3161403000,2856,"","N","STOWELL","AV","",532113774,8810,260350,830813,0,0,"","R"
"192750",4610641000,1812,"A","S","13TH","ST","",532043203,8820,270171,981210,0,0,"","R"
"217658",4980571000,2441,"","S","5TH","ST","",532071414,8820,297665,830813,0,0,"","R"
"257538",3601281000,544,"","E","OGDEN","AV","100",532022693,5812,401740,130701,0,0,"","C"
"279057",4720114000,3600,"","W","ROGERS","ST","1",532152040,8820,428552,121116,0,0,"","R"
"251834",3231341100,2360,"","N","12TH","ST","",532060000,8880,337473,960805,0,0,"N","C"
"276790",3921208000,1103,"","N","WATER","ST","203",532023123,8830,425498,130611,0,0,"","R"
"250766",1379944430,6684,"R","N","42ND","ST","",532090000,8880,336306,830104,0,0,"N","C"
"268174",4661511000,2147,"","S","WINCHESTER","ST","114",532071309,8830,415103,980916,0,0,"","R"
"253486",2700402110,2223,"","W","NASH","ST","",532061853,8820,339531,130909,0,0,"","R"
"200595",3250427100,2442,"","N","23RD","ST","",532061524,8820,279087,980713,0,0,"","R"
"274486",3560507110,1961,"","N","SUMMIT","AV","408",532021271,8888,422604,151110,0,0,"N","C"
"263388",3591882000,1660,"","N","PROSPECT","AV","2507",532026714,8811,409394,70502,0,0,"","R"
"295189",3070805100,5000,"","W","CHAMBERS","ST","",532101650,8062,447575,70427,0,0,"","C"
"301693",3970561000,102,"","N","WATER","ST","101",532036056,6021,455030,170530,0,0,"","C"
"243020",3530692000,1928,"","N","MARTIN L KING JR","DR","",532123642,8899,326124,90729,0,0,"","R"
"204606",2300618000,4512,"","N","28TH","ST","",532096116,8810,283808,151021,0,0,"","R"
"250566",3480034000,1805,"","N","35TH","ST","",532080000,7523,336083,830104,0,0,"N","C"
"306303",2241221000,8339,"","W","APPLETON","AV","",532180000,8880,460319,100218,0,0,"N","C"
"232575",2241113000,4471,"","N","82ND","ST","",532184515,8810,313225,830813,0,0,"","R"
"202804",4702041000,2128,"A","S","25TH","ST","",532152509,8820,281612,830813,0,0,"","R"
"278749",4692223000,1903,"A","S","19TH","ST","",532043728,8830,428054,90720,0,0,"","R"
"222128",3461203000,1738,"","N","58TH","ST","",532081618,8820,302223,830813,0,0,"","R"
"299344",4610621110,1739,"","S","12TH","ST","",532043314,8880,452448,70920,0,0,"N","C"
"301137",4610715000,827,"","W","MAPLE","ST","A",532043525,8820,454444,80409,0,0,"","R"
"203209",2700135100,3545,"","N","26TH","ST","",532061334,8820,282084,130909,0,0,"","R"
"190316",5070314000,2825,"","S","10TH","ST","",532153918,8820,267563,830813,0,0,"","R"
"259998",800001100,7939,"","N","FAULKNER","RD","",532243422,3546,404850,971112,0,0,"","C"
"241677",4000521000,617,"","N","23RD","ST","306",532331903,8830,323999,830907,0,0,"","R"
"220019",5560387000,3868,"","S","53RD","ST","",532202037,8810,300060,130918,0,0,"","R"
"266198",1020612000,3922,"","W","GOOD HOPE","RD","5",532092379,8830,412799,81017,0,0,"","R"
"321050",4589881110,1545,"","S","LAYTON","BL","604",532151969,8899,476462,190107,0,0,"","R"
"257708",720844000,9455,"","W","TERRA","CT","",532245612,8811,402008,991006,0,0,"","R"
"225448",2110006000,5152,"","N","64TH","ST","",532184005,8810,305779,160505,0,0,"","R"
"204353",3491106110,2242,"","N","28TH","ST","",532080000,8880,283543,980723,0,0,"N","C"
"220134",3460529000,2169,"","N","54TH","ST","",532081012,8810,300182,830813,0,0,"","R"
"214411",3070080100,2955,"","N","44TH","ST","",532101710,8820,294239,160401,0,0,"","R"
"256456",3600484110,920,"","E","JUNEAU","AV","",532022748,7011,400010,161128,0,0,"","C"
"180092",3590295000,1626,"","N","PROSPECT","AV","802",532022422,8830,255862,90701,0,0,"","R"
"281934",839997119,6125,"","W","BRADLEY","RD","307",532233488,8830,431820,81016,0,0,"","R"
"297097",60031000,9301,"","N","76TH","ST","234",532231064,8830,449934,80917,0,0,"","R"
"300112",3601754000,455,"","E","OGDEN","AV","310",532022583,8830,453374,80523,0,0,"","R"
"209940",3661983000,1323,"","N","37TH","PL","",532080000,8880,289592,50209,0,0,"N","C"
"297962",790196000,9640,"","W","FOUNTAIN","AV","",532243339,8810,450882,90720,0,0,"","R"
"298454",3230431100,2606,"","N","7TH","ST","B",532122740,8810,451402,70718,0,0,"","R"
"291944",5261390000,8520,"","W","EUCLID","AV","",532274669,8810,443635,70329,0,0,"","R"
"234996",2830363100,3327,"","N","9TH","ST","",532062810,8810,315697,970520,0,0,"","R"
"277453",4200730000,235,"","S","63RD","ST","A",532141826,8820,426373,981203,0,0,"","R"
"322032",3981281000,735,"","W","WISCONSIN","AV","414",532332403,8830,477469,191011,0,0,"","R"
"172819",3921719000,1104,"","N","MARSHALL","ST","401",532023331,8830,247579,830813,0,0,"","R"
"306972",3211902000,2631,"","N","HUMBOLDT","BL","",532120000,8880,461216,100303,0,0,"N","C"
"230000",4060760000,200,"","N","76TH","ST","3",532133532,8830,310455,830813,0,0,"","R"
"321107",3180613000,2387,"","N","TERRACE","AV","",532110000,8880,476520,190311,0,0,"N","C"
"268421",5530501111,3829,"","S","MINER","ST","4",532211209,8830,415366,980917,0,0,"","R"
"304253",770083000,11425,"","W","LAKE PARK","DR","900",532243023,7371,458079,90930,0,0,"","C"
"293406",3551696000,1550,"","E","ROYALL","PL","1001",532021808,8811,445491,51116,0,0,"","R"
"179705",1020048000,4105,"","W","PORTAGE","ST","",532091932,8810,255416,830813,0,0,"","R"
"228344",2251249000,4453,"","N","71ST","ST","",532185410,8810,308788,830813,0,0,"","R"
"176243",3170239000,2804,"","E","NEWBERRY","BL","",532113427,8820,251580,830813,0,0,"","R"
"194875",2440353000,4343,"","N","15TH","ST","",532096946,8810,272467,830813,0,0,"","R"
"296290",7160442000,6505,"","S","13TH","ST","",532210000,8880,449010,70402,0,0,"N","C"
"246960",2261181000,6727,"","W","HAMPTON","AV","",532180000,8880,331775,990222,0,0,"N","C"
"179025",4270328000,650,"","W","PIERCE","ST","",532041719,8820,254605,830813,0,0,"","R"
"228006",2251129000,4519,"","N","70TH","ST","",532185408,8810,308450,160720,0,0,"","R"
"237994",810172000,7624,"","N","78TH","ST","5",532233960,8830,318794,81014,0,0,"","R"
"230423",4190412000,230,"","S","76TH","ST","4",532141543,8830,310901,830813,0,0,"","R"
"213596",5320472000,3121,"","S","41ST","ST","",532154026,8810,293385,830813,0,0,"","R"
"191291",2720719000,3936,"","N","11TH","ST","",532063058,8810,268581,830813,0,0,"","R"
"237601",5250539000,3301,"","S","98TH","ST","",532274213,8810,318384,830813,0,0,"","R"
"211006",2870758000,3109,"","N","38TH","ST","3",532163660,8899,290697,180817,0,0,"","R"
"322674",4661691000,2160,"","S","KINNICKINNIC","AV","309",532071328,8850,478122,200122,0,0,"N","R"
"179405",5810268100,312,"B","E","PLAINFIELD","AV","",532075046,8820,255058,80428,0,0,"","R"
"320444",2731617000,3842,"","N","VEL R PHILLIPS","AV","",532121112,8820,475843,140403,0,0,"","R"
"270550",2620981000,3800,"","N","92ND","ST","2002",532222504,8888,417810,90319,0,0,"N","C"
"234665",720427000,8344,"","N","93RD","ST","",532242744,8820,315334,840402,0,0,"","R"
"243968",3921611100,933,"","N","MARSHALL","ST","305",532023417,8830,327695,850911,0,0,"","R"
"216451",2280154200,4550,"","N","48TH","ST","3",532185118,8830,296384,151116,0,0,"","R"
"255815",4970667000,977,"","W","ARTHUR","AV","",532150000,8880,343695,990623,0,0,"N","C"
"272745",3140026000,2724,"","N","BREMEN","ST","",532122606,8820,420381,981102,0,0,"","R"
"309351",3891943000,2195,"","W","STATE","ST","307",532331190,8830,464128,110802,0,0,"","R"
"219992",5301154000,3217,"","S","53RD","ST","",532194523,8820,300033,830813,0,0,"","R"
"300858",60031000,9301,"","N","76TH","ST","527",532231078,8361,454159,80221,0,0,"","C"
"264737",5261313000,8821,"","W","OKLAHOMA","AV","114",532274505,8830,410904,980903,0,0,"","R"
"321624",3161891000,2900,"","N","OAKLAND","AV","405",532113367,8850,477054,190909,0,0,"N","R"
"184726",1160014000,9719,"","W","TERESA","LA","",532244651,8810,260969,830813,0,0,"","R"
"272705",3132411000,2705,"","N","MARTIN L KING JR","DR","E",532122385,8899,420334,170202,0,0,"","R"
"247839",3220257100,131,"","E","MEINECKE","AV","",532120000,8880,332816,71130,0,0,"N","C"
"247541",6260341000,545,"","W","LAYTON","AV","",532075931,7011,332463,1130,0,0,"","C"
"302434",3920717000,326,"","E","MASON","ST","",532023604,5813,455818,90326,0,0,"","C"
"233831",2530068000,4043,"","N","86TH","ST","",532221701,8810,314493,830813,0,0,"","R"
"292607",4280688000,130,"","S","WATER","ST","107",532044301,8811,444556,100512,0,0,"","R"
"184771",3180411200,2589,"","N","TERRACE","AV","",532113821,8811,261017,830813,0,0,"","R"
"256148",2891018000,3217,"","N","52ND","ST","",532160000,8885,344082,981028,0,0,"N","C"
"171952",1810341100,5861,"","N","LOVERS LANE","RD","A",532252204,8820,246595,80409,0,0,"","R"
"305793",1530314000,7920,"","W","BENDER","AV","",532180000,8880,459805,100212,0,0,"N","C"
"300638",3530955100,141,"","W","VINE","ST","206",532124033,8830,453924,80111,0,0,"","R"
"182225",2670775000,4816,"","W","SCRANTON","PL","",532162924,8810,258263,161017,0,0,"","R"
"202381",3250101000,2429,"","N","25TH","ST","",532060000,8880,281167,830813,0,0,"N","C"
"318979",3610105110,1726,"","N","1ST","ST","326",532120000,8830,474273,190603,0,0,"","R"
"264567",5269977100,9007,"","W","BELOIT","RD","130",532274419,8830,410677,980903,0,0,"","R"
"183106",5010469110,2525,"","S","SHORE","DR","2E",532071925,8811,259171,20304,0,0,"","R"
"278188",4581681000,1546,"","S","29TH","ST","302",532151956,8830,427366,81204,0,0,"","R"
"184990",1939993000,5301,"","N","TEUTONIA","AV","109",532094872,8830,261298,110613,0,0,"","R"
"301527",3592021046,1300,"","N","PROSPECT","AV","P1046",532020000,7525,454862,80814,0,0,"N","C"
"185525",5550097000,4632,"","W","TRIPOLI","AV","",532202119,8820,261851,830813,0,0,"","R"
"296937",3891741000,2415,"","W","KILBOURN","AV","10",532330000,8888,449731,70104,0,0,"N","C"
"221867",2100161000,4863,"","N","57TH","ST","",532184239,8820,301959,161017,0,0,"V","R"
"175600",3160062000,2819,"","N","MURRAY","AV","",532113649,8820,250843,120926,0,0,"","R"
"285501",5100490211,2901,"","W","KINNICKINNIC RIVER","PK","4S50",532153638,8011,436112,90610,0,0,"N","C"
"178170",4991995000,820,"","E","OTJEN","ST","",532071808,8810,253683,830813,0,0,"","R"
"272368",2850002000,2220,"","W","HOPKINS","ST","2",532061706,8899,419906,140403,0,0,"","R"
"164380",3881639000,3006,"","W","HIGHLAND","BL","212",532083246,8830,237919,980921,0,0,"","R"
"212009",2080873000,5130,"","N","39TH","ST","",532095346,8810,291735,131212,0,0,"","R"
"315585",3540410000,2070,"","N","RIVERBOAT","RD","513",532123535,8830,470746,161109,0,0,"","R"
"168263",2780012000,2910,"","E","KENWOOD","BL","",532113455,8810,242457,151021,0,0,"","R"
"316332",3920651000,225,"","E","MICHIGAN","ST","505",532024912,8899,471500,170824,0,0,"","R"
"263577",50001100,9253,"","N","JADAM","LA","104",532241875,8830,409587,80822,0,0,"","R"
"226055",4200275000,306,"","S","66TH","ST","",532141732,8810,306388,830813,0,0,"","R"
"305695",1410712000,7002,"","W","MILL","RD","",532180000,8880,459706,100210,0,0,"N","C"
"229178",2510168000,4168,"","N","74TH","ST","",532161050,8810,309624,830813,0,0,"","R"
"203136",3102004000,2978,"","N","26TH","ST","",532061121,8820,282007,171003,0,0,"V","R"
"176336",2801071100,3205,"","N","NEWHALL","ST","",532113043,8810,251677,504,0,0,"","R"
"209305",3270354100,2530,"","N","36TH","ST","",532103041,8810,288947,150330,0,0,"","R"
"306620",2811042000,3041,"","N","HUMBOLDT","BL","",532120000,8880,460642,100222,0,0,"N","C"
"244612",3550847000,1702,"","N","FRANKLIN","PL","1",532021605,8899,328653,40107,0,0,"","R"
"230307",2120044000,5148,"","N","76TH","ST","",532183803,8830,310784,830813,0,0,"","R"
"257940",3600617110,1418,"","N","CASS","ST","",532022764,8830,402261,951026,0,0,"","R"
"213501",1921119000,5402,"","N","41ST","ST","",532094622,8810,293290,830813,0,0,"","R"
"298549",3970423000,630,"","N","4TH","ST","908",532032809,8880,451505,180814,0,0,"N","C"
"298716",3891942000,2200,"","W","KILBOURN","AV","311",532333016,8830,451740,70827,0,0,"","R"
"306715",3290249110,5512,"","W","NORTH","AV","260",532080000,8880,460755,100223,0,0,"N","C"
"296595",400285000,9414,"","W","RIVER RIDGE","DR","",532240000,8880,449358,70507,0,0,"N","C"
"172771",3921612000,921,"","N","MARSHALL","ST","304",532023417,8830,247512,830813,0,0,"","R"
"244084",3170017000,2925,"A","E","KENWOOD","BL","",532113456,8810,327882,111026,0,0,"","R"
"312987",3551911000,1840,"","N","PROSPECT","AV","604",532021963,8361,468048,141209,0,0,"","C"
"303561",3970181112,275,"","W","WISCONSIN","AV","103",532033306,7231,457308,170815,0,0,"","C"
"273412",3212109000,2607,"","N","BREMEN","ST","",532123061,8899,421153,981104,0,0,"","R"
"309792",2790397111,3363,"","N","MARYLAND","AV","",532112950,8880,464594,120104,0,0,"N","C"
"269173",3209988000,2630,"","N","HUMBOLDT","BL","306",532123023,8830,416203,980918,0,0,"","R"
"251131",3850147000,828,"","N","60TH","ST","",532133210,8810,336697,830104,0,0,"","R"
"218917",4040513000,536,"","N","52ND","ST","",532083644,8810,298952,830813,0,0,"","R"
"278910",4693282000,1802,"","W","BECHER","ST","526",532152686,8830,428219,121002,0,0,"","R"
"267734",3922050100,709,"","E","PLEASANT","ST","202",532022093,8830,414580,130109,0,0,"","R"
"203524",4702073000,2114,"A","S","26TH","ST","",532152513,8820,282416,830813,0,0,"","R"
"306923",3590242000,1579,"","N","FARWELL","AV","",532020000,8880,461155,100225,0,0,"N","C"
"220644",3460538000,2166,"","N","55TH","ST","",532081014,8810,300693,830813,0,0,"","R"
"299894",4611378110,1670,"","S","11TH","ST","424",532043358,8899,453057,81021,0,0,"","R"
"261545",3910237110,1227,"","W","HIGHLAND","AV","",532330000,8880,407365,80429,0,0,"N","C"
"203583",5340622000,3234,"","S","26TH","ST","",532154423,8810,282475,830813,0,0,"","R"
"282170",5390242100,3442,"","S","CLEMENT","AV","",532073536,8880,432072,90928,0,0,"N","C"
"315103",3930402100,330,"","E","KILBOURN","AV","1070",532023121,7400,470260,190122,0,0,"","C"
"250977",2100533000,4817,"","N","53RD","ST","",532180000,8880,336534,111017,0,0,"N","C"
"277452",4200277100,236,"","S","66TH","ST","",532141730,8820,426371,981203,0,0,"","R"
"257431",4709990000,2361,"","W","FOREST HOME","AV","",532150000,8880,401475,60310,0,0,"N","C"
"220449",1901507000,5438,"","N","54TH","ST","",532183335,8810,300498,830813,0,0,"","R"
"232396",1430692000,6718,"","N","81ST","ST","",532235514,8810,313046,830813,0,0,"","R"
"228986",440166000,8655,"","N","73RD","ST","",532232601,8811,309432,830813,0,0,"","R"
"266405",1210451100,7150,"","N","PRESIDIO","DR","H",532236324,8830,413039,70906,0,0,"","R"
"251212",4200424000,648,"","S","67TH","ST","",532140000,8880,336785,830104,0,0,"N","C"
"193098",6432248000,5205,"","S","13TH","ST","G",532213648,8811,270546,90803,0,0,"","R"
"215684",3280942000,2402,"","N","47TH","ST","",532102901,8810,295596,830813,0,0,"","R"
"222107",3680645000,1391,"","N","58TH","ST","3",532082133,8830,302202,830813,0,0,"","R"
"254604",2680128000,4001,"","W","CAPITOL","DR","",532162530,9960,341040,90422,0,0,"N","C"
